#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-358796.6201096452,291.6179914674542,236.41525844120272
2000,-356094.5400315202,299.0361315979335,236.41525844120272
3000,-356504.2226487077,300.5891246921146,236.41525844120272
4000,-356788.7255783952,302.9740433139892,236.41525844120272
5000,-356484.6162033952,300.3090979182998,236.41525844120272
6000,-355912.7167893327,300.5017391216778,236.41525844120272
7000,-355260.5341721452,303.2301917886372,236.41525844120272
8000,-357467.5820237077,299.0874393531242,236.41525844120272
9000,-356437.0976487077,298.6239087469893,236.41525844120272
10000,-356541.7763596452,301.3008698534452,236.41525844120272
11000,-355189.0341721452,302.1299039557024,236.41525844120272
12000,-356339.8281174577,297.1097630277069,236.41525844120272
13000,-357292.6816330827,303.9375632752939,236.41525844120272
14000,-356399.9833908952,298.1156412551511,236.41525844120272
15000,-356961.5234299577,302.5403508172037,236.41525844120272
16000,-356417.9658127702,300.7611286388843,236.41525844120272
17000,-354852.4257737077,301.5533904728193,236.41525844120272
18000,-356633.1308518327,301.5719008921711,236.41525844120272
19000,-356420.6455002702,299.31775810870477,236.41525844120272
20000,-357719.2705002702,302.55366218554906,236.41525844120272
21000,-357124.7802658952,297.91909778704115,236.41525844120272
22000,-356067.5351487077,301.4890177949961,236.41525844120272
23000,-356751.1171799577,300.9499153368391,236.41525844120272
24000,-355840.3496018327,303.7336276953009,236.41525844120272
25000,-356117.7421799577,299.9726462103889,236.41525844120272
26000,-356072.8964768327,301.47547724564265,236.41525844120272
27000,-355584.9062424577,303.6055622598122,236.41525844120272
28000,-357553.1562424577,301.9931669529979,236.41525844120272
29000,-357119.9179612077,301.6609323118816,236.41525844120272
30000,-355674.6113205827,299.89690547679186,236.41525844120272
31000,-357740.6669846452,300.2020153796466,236.41525844120272
32000,-357416.2089768327,300.94327956046527,236.41525844120272
33000,-358452.4247971452,300.5327228857791,236.41525844120272
34000,-357230.9160080827,302.5758046546037,236.41525844120272
35000,-356317.2382737077,307.9550234932999,236.41525844120272
36000,-358055.8788987077,301.8515813507956,236.41525844120272
37000,-356401.0048752702,303.5750625182053,236.41525844120272
38000,-356900.7216721452,299.82327221532034,236.41525844120272
39000,-356858.0019455827,298.44964372056995,236.41525844120272
40000,-357194.7929612077,301.2117191220654,236.41525844120272
41000,-355726.2910080827,299.571466561517,236.41525844120272
42000,-356791.4160080827,301.8508057413704,236.41525844120272
43000,-356652.7558518327,295.713749464957,236.41525844120272
44000,-355704.7070237077,302.2789226047592,236.41525844120272
45000,-356294.9580002702,301.70322642100996,236.41525844120272
46000,-355303.6865158952,305.81437061242104,236.41525844120272
47000,-356249.7812424577,299.5377890240119,236.41525844120272
48000,-355893.8456955827,300.8546989071784,236.41525844120272
